[2019-10-08 오전 9:00:09] 피봇1차이상 상승 : 900100	뉴프라이드
[2019-10-08 오전 9:12:46] 종목(중복) :	043910
[2019-10-08 오전 9:12:46] 종목(중복) :	049080
[2019-10-08 오전 9:12:47] 종목(중복) :	043910
[2019-10-08 오전 9:12:47] 종목(중복) :	049080
[2019-10-08 오전 9:12:48] 종목(중복) :	043910
[2019-10-08 오전 9:12:48] 종목(중복) :	033180
[2019-10-08 오전 9:12:49] 종목(중복) :	043910
[2019-10-08 오전 9:12:51] 종목(중복) :	049080
[2019-10-08 오전 9:12:51] 종목(중복) :	043910
[2019-10-08 오전 9:12:51] 종목(중복) :	033170
[2019-10-08 오전 9:12:52] 종목(중복) :	049080
[2019-10-08 오전 9:12:53] 종목(중복) :	043910
[2019-10-08 오전 9:12:53] 종목(중복) :	049080
[2019-10-08 오전 9:12:53] 종목(중복) :	033170
[2019-10-08 오전 9:12:54] 종목(중복) :	043910
[2019-10-08 오전 9:12:54] 종목(중복) :	033170
[2019-10-08 오전 9:12:55] 종목(중복) :	043910
[2019-10-08 오전 9:12:55] 종목(중복) :	049080
[2019-10-08 오전 9:12:56] 종목(중복) :	033170
[2019-10-08 오전 9:12:56] 종목(중복) :	111710
[2019-10-08 오전 9:12:57] 종목(중복) :	049080
[2019-10-08 오전 9:12:57] 종목(중복) :	033170
[2019-10-08 오전 9:12:59] 종목(중복) :	049080
[2019-10-08 오전 9:13:00] 종목(중복) :	049080
[2019-10-08 오전 9:13:01] 종목(중복) :	111710
[2019-10-08 오전 9:13:02] 종목(중복) :	033180
[2019-10-08 오전 9:13:04] 종목(중복) :	005110
[2019-10-08 오전 9:13:10] 피봇2차저항 돌파(시초) : 049080 피봇 : 1746 현재가 : 1750
[2019-10-08 오전 9:13:10] RQName: 주식일봉차트조회 TRCode: OPT10081 메세지: [107066] 매수주문이 완료되었습니다.
[2019-10-08 오전 9:13:11] 매매완료 :	049080	기가레인	0034012	1
[2019-10-08 오전 9:13:11] 매매완료 :	049080	기가레인	0034012	3
[2019-10-08 오전 9:13:11] 매수완료 :	049080	기가레인	29/85 1745
[2019-10-08 오전 9:13:11] 매매완료 :	049080	기가레인	0034012	3
[2019-10-08 오전 9:13:11] 피봇2차저항 돌파매도(1.5%) : 049080	기가레인	1770
[2019-10-08 오전 9:13:11] RQName: 주식일봉차트조회 TRCode: OPT10081 메세지: [107048] 매도주문이 완료되었습니다.
[2019-10-08 오전 9:13:11] 매매완료 :	049080	기가레인	0034025	4
[2019-10-08 오전 9:13:14] 종목(중복) :	128540
[2019-10-08 오전 9:13:18] 종목(중복) :	204840
[2019-10-08 오전 9:13:19] 피봇2차저항 돌파(시초) : 900100 피봇 : 1371 현재가 : 1375
[2019-10-08 오전 9:13:19] RQName: 주식일봉차트조회 TRCode: OPT10081 메세지: [107066] 매수주문이 완료되었습니다.
[2019-10-08 오전 9:13:20] 매매완료 :	900100	뉴프라이드	0034196	1
[2019-10-08 오전 9:13:20] 매매완료 :	900100	뉴프라이드	0034196	3
[2019-10-08 오전 9:13:20] 매수완료 :	900100	뉴프라이드	109/109 1380
[2019-10-08 오전 9:13:20] 피봇2차저항 돌파매도(1.5%) : 900100	뉴프라이드	1400
[2019-10-08 오전 9:13:20] 종목(중복) :	049080
[2019-10-08 오전 9:13:20] RQName: 주식일봉차트조회 TRCode: OPT10081 메세지: [107048] 매도주문이 완료되었습니다.
[2019-10-08 오전 9:13:20] 매매완료 :	900100	뉴프라이드	0034209	4
[2019-10-08 오전 9:13:21] 종목(중복) :	049080
[2019-10-08 오전 9:13:22] 종목(중복) :	084650
[2019-10-08 오전 9:13:23] 종목(중복) :	049080
[2019-10-08 오전 9:13:23] 종목(중복) :	033170
[2019-10-08 오전 9:13:24] 종목(중복) :	033170
[2019-10-08 오전 9:13:24] 종목(중복) :	049080
[2019-10-08 오전 9:13:25] 종목(중복) :	033170
[2019-10-08 오전 9:13:26] 종목(중복) :	049080
[2019-10-08 오전 9:13:26] 종목(중복) :	033170
[2019-10-08 오전 9:13:27] 종목(중복) :	049080
[2019-10-08 오전 9:13:27] 종목(중복) :	033170
[2019-10-08 오전 9:13:27] 피봇2차저항 돌파(시초) : 033180 피봇 : 4855 현재가 : 4860
[2019-10-08 오전 9:13:28] RQName: 주식일봉차트조회 TRCode: OPT10081 메세지: [107066] 매수주문이 완료되었습니다.
[2019-10-08 오전 9:13:28] 매매완료 :	033180	필룩스	0034369	1
[2019-10-08 오전 9:13:28] 매매완료 :	033180	필룩스	0034369	3
[2019-10-08 오전 9:13:28] 매수완료 :	033180	필룩스	30/30 4845
[2019-10-08 오전 9:13:28] 피봇2차저항 돌파매도(1.5%) : 033180	필룩스	4915
[2019-10-08 오전 9:13:28] 종목(중복) :	033170
[2019-10-08 오전 9:13:28] RQName: 주식일봉차트조회 TRCode: OPT10081 메세지: [107048] 매도주문이 완료되었습니다.
[2019-10-08 오전 9:13:29] 매매완료 :	033180	필룩스	0034393	4
[2019-10-08 오전 9:13:29] 종목(중복) :	049080
[2019-10-08 오전 9:13:30] 종목(중복) :	033110
[2019-10-08 오전 9:13:31] 종목(중복) :	033170
[2019-10-08 오전 9:13:31] 종목(중복) :	049080
[2019-10-08 오전 9:13:32] 종목(중복) :	049080
[2019-10-08 오전 9:13:33] 종목(중복) :	049080
[2019-10-08 오전 9:13:34] 종목(중복) :	033170
[2019-10-08 오전 9:13:34] 종목(중복) :	049080
[2019-10-08 오전 9:13:35] 종목(중복) :	033170
[2019-10-08 오전 9:13:35] 종목(중복) :	049080
[2019-10-08 오전 9:13:36] 종목(중복) :	049080
[2019-10-08 오전 9:13:37] 종목(중복) :	033170
[2019-10-08 오전 9:13:40] 종목(중복) :	033170
[2019-10-08 오전 9:13:40] 종목(중복) :	049080
[2019-10-08 오전 9:13:41] 종목(중복) :	010660
[2019-10-08 오전 9:13:41] 종목(중복) :	049080
[2019-10-08 오전 9:13:42] 종목(중복) :	033170
[2019-10-08 오전 9:13:44] 종목(중복) :	049080
[2019-10-08 오전 9:13:46] 종목(중복) :	033170
[2019-10-08 오전 9:13:46] 종목(중복) :	049080
[2019-10-08 오전 9:13:46] 종목(중복) :	005110
[2019-10-08 오전 9:13:47] 종목(중복) :	033170
[2019-10-08 오전 9:13:48] 종목(중복) :	005110
[2019-10-08 오전 9:13:49] 종목(중복) :	049080
[2019-10-08 오전 9:13:49] 종목(중복) :	033170
[2019-10-08 오전 9:13:50] 종목(중복) :	005110
[2019-10-08 오전 9:13:50] 종목(중복) :	033170
[2019-10-08 오전 9:13:50] 종목(중복) :	049080
[2019-10-08 오전 9:13:51] 종목(중복) :	005110
[2019-10-08 오전 9:13:51] 종목(중복) :	027740
[2019-10-08 오전 9:13:51] 종목(중복) :	033170
[2019-10-08 오전 9:13:52] 종목(중복) :	049080
[2019-10-08 오전 9:13:53] 종목(중복) :	005110
[2019-10-08 오전 9:13:53] 종목(중복) :	049080
[2019-10-08 오전 9:13:56] 종목(중복) :	027740
[2019-10-08 오전 9:13:56] 종목(중복) :	049080
[2019-10-08 오전 9:13:57] 종목(중복) :	049080
[2019-10-08 오전 9:13:59] 종목(중복) :	049080
[2019-10-08 오전 9:14:01] 종목(중복) :	128540
[2019-10-08 오전 9:14:02] 종목(중복) :	033180
[2019-10-08 오전 9:14:03] 종목(중복) :	111710
[2019-10-08 오전 9:14:04] 종목(중복) :	204840
[2019-10-08 오전 9:14:07] 종목(중복) :	027740
[2019-10-08 오전 9:14:08] 종목(중복) :	084650
[2019-10-08 오전 9:14:14] 종목(중복) :	010660
[2019-10-08 오전 9:14:16] 종목(중복) :	096630
[2019-10-08 오전 9:14:17] 종목(중복) :	027740
[2019-10-08 오전 9:14:17] 종목(중복) :	096630
[2019-10-08 오전 9:14:21] 종목(중복) :	049080
[2019-10-08 오전 9:14:22] 종목(중복) :	033170
[2019-10-08 오전 9:14:22] 종목(중복) :	049080
[2019-10-08 오전 9:14:23] 종목(중복) :	033170
[2019-10-08 오전 9:14:24] 종목(중복) :	128540
[2019-10-08 오전 9:14:24] 종목(중복) :	111710
[2019-10-08 오전 9:14:25] 종목(중복) :	005110
[2019-10-08 오전 9:14:25] 종목(중복) :	049080
[2019-10-08 오전 9:14:26] 종목(중복) :	128540
[2019-10-08 오전 9:14:26] 종목(중복) :	033170
