[2019-03-26 오전 8:59:01] RQName: 계좌평가현황요청 TRCode: opw00004 메세지: [100000] 조회가 완료되었습니다.
[2019-03-26 오전 10:25:28] RQName: 주식주문 TRCode: KOA_NORMAL_KQ_MODIFY 메세지: [107046] 매도정정 주문입력이 완료되었습니다.
[2019-03-26 오전 10:26:54] 종목 :	025980	아난티
[2019-03-26 오전 10:27:25] 종목 :	179290	엠아이텍
[2019-03-26 오전 10:27:38] 종목 :	179900	유티아이
[2019-03-26 오전 10:33:00] 시간딜레이 :	041930	동아화성	1033/1073
[2019-03-26 오전 10:37:51] 종목 :	007460	에이프로젠 KIC
[2019-03-26 오전 10:39:48] 종목 :	150840	인트로메딕
[2019-03-26 오전 10:41:00] 매수(4%) :	014470	부방
[2019-03-26 오전 10:41:00] RQName: 주식주문 TRCode: KOA_NORMAL_BUY_KQ_ORD 메세지: [107066] 매수주문이 완료되었습니다.
[2019-03-26 오전 10:41:07] 매수완료 :	014470	부방	17/17
[2019-03-26 오전 10:41:08] 매도(Status7) :	014470	부방	2935	2985
[2019-03-26 오전 10:41:08] RQName: 주식주문 TRCode: KOA_NORMAL_SELL_KQ_ORD 메세지: [107048] 매도주문이 완료되었습니다.
[2019-03-26 오전 10:41:25] 종목 :	299900	위지윅스튜디오
[2019-03-26 오전 10:43:56] 종목 :	067990	도이치모터스
[2019-03-26 오전 10:44:00] 시간딜레이 :	037030	파워넷	1044/1084
[2019-03-26 오전 10:45:28] 종목 :	067730	로지시스
[2019-03-26 오전 10:48:51] 손절(Status8) :	014470	부방	2875
[2019-03-26 오전 10:48:51] RQName: 주식주문 TRCode: KOA_NORMAL_KQ_MODIFY 메세지: [107046] 매도정정 주문입력이 완료되었습니다.
[2019-03-26 오전 10:52:24] 종목 :	037070	파세코
[2019-03-26 오전 10:53:42] 종목 :	900250	크리스탈신소재
[2019-03-26 오전 10:54:13] 종목 :	131090	시큐브
[2019-03-26 오전 10:54:19] 종목 :	270870	뉴트리
[2019-03-26 오전 10:57:39] 종목 :	067900	와이엔텍
[2019-03-26 오전 11:00:42] 종목 :	193250	와이제이엠게임즈
[2019-03-26 오전 11:01:00] 시간딜레이 :	012600	청호컴넷	1101/1141
[2019-03-26 오전 11:01:00] 시간딜레이 :	041930	동아화성	1101/1141
[2019-03-26 오전 11:04:43] 종목 :	011930	신성이엔지
[2019-03-26 오전 11:06:39] 종목 :	003850	보령제약
[2019-03-26 오전 11:07:00] 시간딜레이 :	037070	파세코	1107/1147
[2019-03-26 오전 11:10:41] 종목 :	028040	미래SCI
[2019-03-26 오전 11:11:56] 종목 :	054450	텔레칩스
[2019-03-26 오전 11:12:54] 종목 :	000300	대유플러스
[2019-03-26 오전 11:13:57] 종목 :	054780	키이스트
[2019-03-26 오전 11:15:08] 매수(4%) :	270870	뉴트리
[2019-03-26 오전 11:15:08] RQName: 주식주문 TRCode: KOA_NORMAL_BUY_KQ_ORD 메세지: [107066] 매수주문이 완료되었습니다.
[2019-03-26 오전 11:15:49] 종목 :	047310	파워로직스
[2019-03-26 오전 11:16:57] 종목 :	029960	코엔텍
[2019-03-26 오전 11:17:23] 종목 :	043910	자연과환경
[2019-03-26 오전 11:17:32] 종목 :	004540	깨끗한나라
[2019-03-26 오전 11:17:51] 종목 :	112240	에스에프씨
